Income,Savings,Expenses,Saving Percentage,Expense Percentage,Expense Category
171095,25868,145227,15.119085887956981,84.88091411204302,Healthcare
85679,19851,65828,23.169037920610652,76.83096207938935,Transportation
16618,4182,12436,25.16548321097605,74.83451678902395,Housing
82603,25216,57387,30.526736317082914,69.47326368291709,Transportation
91940,32571,59369,35.42636502066565,64.57363497933434,Transportation
144858,16878,127980,11.651410346684338,88.34858965331566,Healthcare
19697,8994,10703,45.661775904960145,54.338224095039855,Housing
68888,16775,52113,24.351120659621415,75.64887934037858,Transportation
153847,15527,138320,10.092494491280297,89.9075055087197,Healthcare
13444,1214,12230,9.030050580184469,90.96994941981553,Housing
48578,12258,36320,25.233644859813083,74.76635514018692,Food
163121,41628,121493,25.519706230344347,74.48029376965566,Healthcare
74534,10165,64369,13.638071215820968,86.36192878417903,Transportation
67031,27516,39515,41.04966358848891,58.950336411511095,Transportation
33557,16467,17090,49.07172870042018,50.92827129957982,Food
135283,14462,120821,10.690182801978075,89.30981719802192,Healthcare
24857,9373,15484,37.70768797521825,62.29231202478175,Housing
227673,65944,161729,28.96434799031945,71.03565200968055,Entertainment
131641,21390,110251,16.24873709558572,83.75126290441428,Healthcare
231493,53132,178361,22.951881914355944,77.04811808564406,Entertainment
199154,43046,156108,21.614429034817277,78.38557096518272,Entertainment
54887,17131,37756,31.2113979630878,68.78860203691221,Food
101544,53328,48216,52.5171354289766,47.4828645710234,Transportation
184565,7289,177276,3.949286159347655,96.05071384065235,Entertainment
80544,1774,78770,2.202522844656337,97.79747715534366,Transportation
184037,52819,131218,28.700207023587648,71.29979297641236,Entertainment
19545,6180,13365,31.619339984650807,68.38066001534919,Housing
223919,50076,173843,22.363443923918915,77.63655607608109,Entertainment
179817,27616,152201,15.357836022178104,84.6421639778219,Healthcare
225012,548,224464,0.24354256661866924,99.75645743338133,Entertainment
13119,4534,8585,34.5605610183703,65.43943898162969,Housing
38063,21321,16742,56.01502771720569,43.98497228279432,Food
110429,5568,104861,5.042153782068117,94.95784621793189,Transportation
118639,25651,92988,21.621052099225384,78.37894790077462,Transportation
239213,64903,174310,27.131886644956587,72.86811335504342,Entertainment
53062,25461,27601,47.983491010516,52.016508989484,Food
107137,58858,48279,54.93713656346547,45.06286343653453,Transportation
29740,3796,25944,12.763954270342973,87.23604572965704,Housing
56424,27693,28731,49.080178647384095,50.91982135261591,Food
130277,6593,123684,5.060755160158738,94.93924483984127,Healthcare
119518,45894,73624,38.399236935022344,61.600763064977656,Transportation
12521,3687,8834,29.446529829885794,70.55347017011421,Housing
206678,58232,148446,28.17522910033966,71.82477089966034,Entertainment
29013,3919,25094,13.507737910591805,86.4922620894082,Housing
242438,68650,173788,28.31651803760137,71.68348196239863,Entertainment
27495,9230,18265,33.56973995271868,66.43026004728132,Housing
90147,12438,77709,13.79746414190156,86.20253585809844,Transportation
46937,23516,23421,50.10119948015424,49.89880051984575,Food
25631,2195,23436,8.563848464749716,91.43615153525029,Housing
59265,26806,32459,45.23074327174555,54.76925672825445,Food
39240,19564,19676,49.857288481141694,50.142711518858306,Food
243905,24281,219624,9.95510547139255,90.04489452860744,Entertainment
87796,10653,77143,12.1338101963643,87.86618980363569,Transportation
192255,30845,161410,16.04379600010403,83.95620399989598,Entertainment
47882,19385,28497,40.48494214945073,59.51505785054927,Food
170206,49931,120275,29.3356285912365,70.66437140876349,Healthcare
47107,15788,31319,33.51518882543996,66.48481117456004,Food
231069,59898,171171,25.922127156823286,74.07787284317672,Entertainment
32612,8605,24007,26.385992886054215,73.61400711394579,Food
59130,20448,38682,34.58143074581431,65.41856925418568,Food
25985,14573,11412,56.08235520492592,43.91764479507408,Housing
138728,39177,99551,28.24015339369125,71.75984660630876,Healthcare
159375,17104,142271,10.73192156862745,89.26807843137254,Healthcare
29466,17141,12325,58.17213059118984,41.82786940881015,Housing
15510,8462,7048,54.55834945196647,45.44165054803352,Housing
191545,59541,132004,31.084601529666656,68.91539847033334,Entertainment
45674,11541,34133,25.26820510574944,74.73179489425056,Food
226010,51895,174115,22.96137339055794,77.03862660944206,Entertainment
132378,53090,79288,40.10485125927269,59.89514874072731,Healthcare
48350,26831,21519,55.49327817993795,44.50672182006205,Food
62916,19524,43392,31.031851993133703,68.9681480068663,Transportation
28693,15907,12786,55.43860871989684,44.561391280103166,Housing
55598,10717,44881,19.275873232850103,80.7241267671499,Food
38817,18875,19942,48.62560218460983,51.37439781539016,Food
38657,20264,18393,52.42000155211216,47.57999844788783,Food
240314,35931,204383,14.95168820792796,85.04831179207204,Entertainment
22498,12091,10407,53.742554893768336,46.257445106231664,Housing
120298,38842,81456,32.28815109145622,67.71184890854379,Healthcare
187462,10662,176800,5.687552677342608,94.31244732265739,Entertainment
38293,18120,20173,47.31935340662785,52.68064659337216,Food
217555,24335,193220,11.185677185079633,88.81432281492036,Entertainment
11570,623,10947,5.384615384615385,94.61538461538461,Housing
93601,40351,53250,43.109582162583735,56.890417837416265,Transportation
32512,9044,23468,27.81742125984252,72.18257874015748,Food
70008,19181,50827,27.398297337447147,72.60170266255285,Transportation
57462,30232,27230,52.61216108036616,47.38783891963384,Food
42939,17454,25485,40.64836162928806,59.351638370711946,Food
34860,11845,23015,33.97877223178428,66.02122776821572,Food
182339,13818,168521,7.578192268247605,92.4218077317524,Entertainment
