Income,Savings,Expenses,Saving Percentage,Expense Percentage,Expense Category,Expense Category Numeric,Predicted Expense Category Numeric
171095,25868,145227,15.11908589,84.88091411,Healthcare,2,0
85679,19851,65828,23.16903792,76.83096208,Transportation,4,4
16618,4182,12436,25.16548321,74.83451679,Housing,3,3
82603,25216,57387,30.52673632,69.47326368,Transportation,4,4
91940,32571,59369,35.42636502,64.57363498,Transportation,4,4
144858,16878,127980,11.65141035,88.34858965,Healthcare,2,2
19697,8994,10703,45.6617759,54.3382241,Housing,3,3
68888,16775,52113,24.35112066,75.64887934,Transportation,4,4
153847,15527,138320,10.09249449,89.90750551,Healthcare,2,0
13444,1214,12230,9.03005058,90.96994942,Housing,3,3
48578,12258,36320,25.23364486,74.76635514,Food,1,1
163121,41628,121493,25.51970623,74.48029377,Healthcare,2,0
74534,10165,64369,13.63807122,86.36192878,Transportation,4,4
67031,27516,39515,41.04966359,58.95033641,Transportation,4,4
33557,16467,17090,49.0717287,50.9282713,Food,1,1
135283,14462,120821,10.6901828,89.3098172,Healthcare,2,2
24857,9373,15484,37.70768798,62.29231202,Housing,3,3
227673,65944,161729,28.96434799,71.03565201,Entertainment,0,0
131641,21390,110251,16.2487371,83.7512629,Healthcare,2,2
231493,53132,178361,22.95188191,77.04811809,Entertainment,0,0
199154,43046,156108,21.61442903,78.38557097,Entertainment,0,0
54887,17131,37756,31.21139796,68.78860204,Food,1,4
101544,53328,48216,52.51713543,47.48286457,Transportation,4,4
184565,7289,177276,3.949286159,96.05071384,Entertainment,0,0
80544,1774,78770,2.202522845,97.79747716,Transportation,4,4
184037,52819,131218,28.70020702,71.29979298,Entertainment,0,0
19545,6180,13365,31.61933998,68.38066002,Housing,3,3
223919,50076,173843,22.36344392,77.63655608,Entertainment,0,0
179817,27616,152201,15.35783602,84.64216398,Healthcare,2,0
225012,548,224464,0.243542567,99.75645743,Entertainment,0,0
13119,4534,8585,34.56056102,65.43943898,Housing,3,3
38063,21321,16742,56.01502772,43.98497228,Food,1,1
110429,5568,104861,5.042153782,94.95784622,Transportation,4,2
118639,25651,92988,21.6210521,78.3789479,Transportation,4,2
239213,64903,174310,27.13188664,72.86811336,Entertainment,0,0
53062,25461,27601,47.98349101,52.01650899,Food,1,4
107137,58858,48279,54.93713656,45.06286344,Transportation,4,4
29740,3796,25944,12.76395427,87.23604573,Housing,3,1
56424,27693,28731,49.08017865,50.91982135,Food,1,4
130277,6593,123684,5.06075516,94.93924484,Healthcare,2,2
119518,45894,73624,38.39923694,61.60076306,Transportation,4,2
12521,3687,8834,29.44652983,70.55347017,Housing,3,3
206678,58232,148446,28.1752291,71.8247709,Entertainment,0,0
29013,3919,25094,13.50773791,86.49226209,Housing,3,1
242438,68650,173788,28.31651804,71.68348196,Entertainment,0,0
27495,9230,18265,33.56973995,66.43026005,Housing,3,1
90147,12438,77709,13.79746414,86.20253586,Transportation,4,4
46937,23516,23421,50.10119948,49.89880052,Food,1,1
25631,2195,23436,8.563848465,91.43615154,Housing,3,1
59265,26806,32459,45.23074327,54.76925673,Food,1,4
39240,19564,19676,49.85728848,50.14271152,Food,1,1
243905,24281,219624,9.955105471,90.04489453,Entertainment,0,0
87796,10653,77143,12.1338102,87.8661898,Transportation,4,4
192255,30845,161410,16.043796,83.956204,Entertainment,0,0
47882,19385,28497,40.48494215,59.51505785,Food,1,1
170206,49931,120275,29.33562859,70.66437141,Healthcare,2,0
47107,15788,31319,33.51518883,66.48481117,Food,1,1
231069,59898,171171,25.92212716,74.07787284,Entertainment,0,0
32612,8605,24007,26.38599289,73.61400711,Food,1,1
59130,20448,38682,34.58143075,65.41856925,Food,1,4
25985,14573,11412,56.0823552,43.9176448,Housing,3,1
138728,39177,99551,28.24015339,71.75984661,Healthcare,2,2
159375,17104,142271,10.73192157,89.26807843,Healthcare,2,0
29466,17141,12325,58.17213059,41.82786941,Housing,3,1
15510,8462,7048,54.55834945,45.44165055,Housing,3,3
191545,59541,132004,31.08460153,68.91539847,Entertainment,0,0
45674,11541,34133,25.26820511,74.73179489,Food,1,1
226010,51895,174115,22.96137339,77.03862661,Entertainment,0,0
132378,53090,79288,40.10485126,59.89514874,Healthcare,2,2
48350,26831,21519,55.49327818,44.50672182,Food,1,1
62916,19524,43392,31.03185199,68.96814801,Transportation,4,4
28693,15907,12786,55.43860872,44.56139128,Housing,3,1
55598,10717,44881,19.27587323,80.72412677,Food,1,4
38817,18875,19942,48.62560218,51.37439782,Food,1,1
38657,20264,18393,52.42000155,47.57999845,Food,1,1
240314,35931,204383,14.95168821,85.04831179,Entertainment,0,0
22498,12091,10407,53.74255489,46.25744511,Housing,3,3
120298,38842,81456,32.28815109,67.71184891,Healthcare,2,2
187462,10662,176800,5.687552677,94.31244732,Entertainment,0,0
38293,18120,20173,47.31935341,52.68064659,Food,1,1
217555,24335,193220,11.18567719,88.81432281,Entertainment,0,0
11570,623,10947,5.384615385,94.61538462,Housing,3,3
93601,40351,53250,43.10958216,56.89041784,Transportation,4,4
32512,9044,23468,27.81742126,72.18257874,Food,1,1
70008,19181,50827,27.39829734,72.60170266,Transportation,4,4
57462,30232,27230,52.61216108,47.38783892,Food,1,4
42939,17454,25485,40.64836163,59.35163837,Food,1,1
34860,11845,23015,33.97877223,66.02122777,Food,1,1
182339,13818,168521,7.578192268,92.42180773,Entertainment,0,0
137343,22352,114991,16.27458261,83.72541739,Healthcare,2,2
122284,61377,60907,50.19217559,49.80782441,Healthcare,2,4
168322,28741,139581,17.07501099,82.92498901,Healthcare,2,0
227869,61336,166533,26.91721998,73.08278002,Entertainment,0,0
13595,7196,6399,52.93122471,47.06877529,Housing,3,3
54182,14958,39224,27.60695434,72.39304566,Food,1,4
58430,28153,30277,48.18244053,51.81755947,Food,1,4
188525,46185,142340,24.49807718,75.50192282,Entertainment,0,0
145334,7062,138272,4.859152022,95.14084798,Healthcare,2,2
124316,9791,114525,7.875896908,92.12410309,Healthcare,2,2
131762,42482,89280,32.24146567,67.75853433,Healthcare,2,2
29824,6406,23418,21.47934549,78.52065451,Housing,3,1
91640,42724,48916,46.62156264,53.37843736,Transportation,4,4
64458,38525,25933,59.76760061,40.23239939,Transportation,4,4
245072,36462,208610,14.87807665,85.12192335,Entertainment,0,0
160859,38991,121868,24.23924058,75.76075942,Healthcare,2,0
59165,9944,49221,16.80723401,83.19276599,Food,1,4
23666,1169,22497,4.939575763,95.06042424,Housing,3,3
158585,16135,142450,10.17435445,89.82564555,Healthcare,2,0
183757,44898,138859,24.43335492,75.56664508,Entertainment,0,0
56303,8023,48280,14.24968474,85.75031526,Food,1,4
114647,15377,99270,13.41247481,86.58752519,Transportation,4,2
125473,51864,73609,41.33478916,58.66521084,Healthcare,2,2
70648,36590,34058,51.79198279,48.20801721,Transportation,4,4
16131,7811,8320,48.42229248,51.57770752,Housing,3,3
227579,39844,187735,17.50776653,82.49223347,Entertainment,0,0
69051,29743,39308,43.07395983,56.92604017,Transportation,4,4
167621,46262,121359,27.59916717,72.40083283,Healthcare,2,0
26542,8680,17862,32.70288599,67.29711401,Housing,3,1
47958,4136,43822,8.624212853,91.37578715,Food,1,4
117255,54947,62308,46.86111466,53.13888534,Transportation,4,4
162301,42757,119544,26.34426159,73.65573841,Healthcare,2,0
102156,41565,60591,40.68777164,59.31222836,Transportation,4,4
174878,69942,104936,39.99473919,60.00526081,Healthcare,2,0
101213,32767,68446,32.37429974,67.62570026,Transportation,4,2
42768,1274,41494,2.978862701,97.0211373,Food,1,4
115263,38662,76601,33.54242038,66.45757962,Transportation,4,2
56998,32498,24500,57.01603565,42.98396435,Food,1,4
72524,26747,45777,36.88020517,63.11979483,Transportation,4,4
210196,15659,194537,7.449713601,92.5502864,Entertainment,0,0
16764,4177,12587,24.91648771,75.08351229,Housing,3,3
150895,22210,128685,14.71884423,85.28115577,Healthcare,2,0
46523,8818,37705,18.95406573,81.04593427,Food,1,1
29926,13104,16822,43.78801043,56.21198957,Housing,3,1
118382,40214,78168,33.96969134,66.03030866,Transportation,4,2
216610,11186,205424,5.164119847,94.83588015,Entertainment,0,0
196076,36029,160047,18.37501785,81.62498215,Entertainment,0,0
20913,5189,15724,24.8123177,75.1876823,Housing,3,3
140039,4423,135616,3.158405873,96.84159413,Healthcare,2,2
15784,9152,6632,57.98276736,42.01723264,Housing,3,3
214025,357,213668,0.166802944,99.83319706,Entertainment,0,0
22023,11278,10745,51.21009853,48.78990147,Housing,3,3
128385,44683,83702,34.80391011,65.19608989,Healthcare,2,2
130123,61744,68379,47.45048915,52.54951085,Healthcare,2,4
19729,5036,14693,25.52587561,74.47412439,Housing,3,3
128303,69993,58310,54.55289432,45.44710568,Healthcare,2,4
175748,2540,173208,1.445251155,98.55474884,Healthcare,2,0
85952,4629,81323,5.385564036,94.61443596,Transportation,4,4
16747,2529,14218,15.10121216,84.89878784,Housing,3,3
22980,6444,16536,28.04177546,71.95822454,Housing,3,3
96270,34696,61574,36.04030331,63.95969669,Transportation,4,4
121372,56359,65013,46.43492733,53.56507267,Healthcare,2,4
132075,44767,87308,33.89513534,66.10486466,Healthcare,2,2
59679,19394,40285,32.49719332,67.50280668,Food,1,4
203849,61616,142233,30.22629495,69.77370505,Entertainment,0,0
100439,4860,95579,4.838757853,95.16124215,Transportation,4,2
120120,9326,110794,7.763902764,92.23609724,Healthcare,2,2
