Income,Savings,Expenses,Saving Percentage,Expense Percentage,Expense Category
109946,306,109640,0.27831844723773486,99.72168155276226,Healthcare
89852,38262,51590,42.58335930196323,57.41664069803677,Transportation
14261,887,13374,6.219760185120258,93.78023981487974,Housing
70141,9371,60770,13.360231533625127,86.63976846637487,Transportation
86390,4491,81899,5.198518347030907,94.80148165296909,Transportation
144309,21326,122983,14.778011073460423,85.22198892653958,Healthcare
20254,19092,1162,94.26286165695666,5.737138343043349,Housing
58008,49379,8629,85.12446559095297,14.875534409047027,Transportation
103926,8463,95463,8.14329426707465,91.85670573292535,Healthcare
18789,1120,17669,5.960934589387407,94.0390654106126,Housing
38901,11440,27461,29.407984370581737,70.59201562941827,Food
144041,37322,106719,25.910678209676412,74.0893217903236,Healthcare
71393,13262,58131,18.57605087333492,81.42394912666508,Transportation
61160,2274,58886,3.718116415958143,96.28188358404186,Transportation
48644,31933,16711,65.64632842693857,34.353671573061426,Food
104667,8906,95761,8.508890099076117,91.49110990092389,Healthcare
16592,12182,4410,73.42092574734812,26.57907425265188,Housing
152774,4462,148312,2.9206540379907575,97.07934596200924,Entertainment
145425,9466,135959,6.509197180677324,93.49080281932267,Healthcare
167212,14571,152641,8.71408750568141,91.2859124943186,Entertainment
175382,46760,128622,26.661801097033905,73.3381989029661,Entertainment
42281,21031,21250,49.74101842435136,50.25898157564863,Food
71824,28797,43027,40.09384049899755,59.906159501002456,Transportation
188363,36671,151692,19.46826075184617,80.53173924815383,Entertainment
75429,7400,68029,9.810550318842886,90.18944968115711,Transportation
163236,22027,141209,13.493959665760006,86.50604033424,Entertainment
10850,10698,152,98.59907834101382,1.400921658986175,Housing
163637,9039,154598,5.523811851842798,94.4761881481572,Entertainment
108254,25208,83046,23.28597557596024,76.71402442403976,Healthcare
174372,33053,141319,18.955451563324388,81.04454843667561,Entertainment
14881,6949,7932,46.69713056918218,53.30286943081782,Housing
30832,19383,11449,62.86650233523612,37.13349766476388,Food
74257,44433,29824,59.8367830642229,40.16321693577709,Transportation
57397,7338,50059,12.78464031221144,87.21535968778856,Transportation
185337,160,185177,0.08632922729945991,99.91367077270054,Entertainment
37357,35897,1460,96.09176325722086,3.908236742779131,Food
75252,36955,38297,49.108329346728326,50.89167065327167,Transportation
21807,9580,12227,43.93084789287843,56.06915210712157,Housing
39707,38231,1476,96.28277129977081,3.717228700229179,Food
149659,4889,144770,3.266759767204111,96.7332402327959,Healthcare
79694,40004,39690,50.1970035385349,49.802996461465106,Transportation
20185,6331,13854,31.36487490710924,68.63512509289076,Housing
182152,518,181634,0.2843778822082656,99.71562211779174,Entertainment
19684,10640,9044,54.054054054054056,45.94594594594595,Housing
168547,33276,135271,19.742861041727235,80.25713895827276,Entertainment
16006,2568,13438,16.04398350618518,83.95601649381483,Housing
70373,32140,38233,45.67092492859477,54.32907507140523,Transportation
28833,12467,16366,43.23865015780529,56.76134984219471,Food
15619,9280,6339,59.414815289071,40.58518471092899,Housing
30317,16244,14073,53.58049938978131,46.41950061021869,Food
45082,16874,28208,37.42957277849253,62.57042722150747,Food
196628,8303,188325,4.222694631486869,95.77730536851313,Entertainment
61137,19203,41934,31.409784582167916,68.59021541783208,Transportation
169424,39326,130098,23.211587496458588,76.78841250354141,Entertainment
29152,8911,20241,30.567371020856204,69.4326289791438,Food
140642,3841,136801,2.7310476244649537,97.26895237553505,Healthcare
40631,20056,20575,49.361325096601114,50.638674903398886,Food
158445,9611,148834,6.065827258670201,93.9341727413298,Entertainment
42628,5696,36932,13.36210941165431,86.63789058834568,Food
48730,45512,3218,93.39626513441411,6.6037348655858805,Food
18183,17961,222,98.77907935984162,1.2209206401583896,Housing
131512,22426,109086,17.05243627957905,82.94756372042094,Healthcare
108712,7904,100808,7.27058650378983,92.72941349621017,Healthcare
14295,6197,8098,43.35082196572228,56.64917803427771,Housing
10866,182,10684,1.6749493833977545,98.32505061660225,Housing
174023,18922,155101,10.873275371646276,89.12672462835373,Entertainment
36665,8219,28446,22.416473476067093,77.58352652393292,Food
180886,5811,175075,3.2125205930807246,96.78747940691927,Entertainment
125475,40935,84540,32.6240286909743,67.3759713090257,Healthcare
33803,8307,25496,24.57474188681478,75.42525811318522,Food
54009,44464,9545,82.32701957081228,17.672980429187728,Transportation
24653,10831,13822,43.93380116010222,56.06619883989779,Housing
